"source","target","sourceType","metadataType","label"
"SVMXC__Actual_Initial_Response__c","Actual_Initial_Response__c","datetime","DateTime","Actual Initial Response"
"SVMXC__Actual_Onsite_Response__c","Actual_Onsite_Response__c","datetime","DateTime","Actual Onsite Response"
"SVMXC__Actual_Resolution__c","Actual_Resolution__c","datetime","DateTime","Actual Resolution"
"SVMXC__Actual_Restoration__c","Actual_Restoration__c","datetime","DateTime","Actual Restoration"
"SVMXC__Auto_Entitlement_Status__c","Auto_Entitlement_Status__c","picklist","Picklist","Auto Entitlement Status"
"SVMXC__BW_Date__c","BW_Date__c","date","Date","BW Date"
"SVMXC__BW_Selected_By__c","BW_Selected_By__c","reference","Text","BW Selected By"
"SVMXC__BW_Selected_On__c","BW_Selected_On__c","datetime","DateTime","BW Selected On"
"SVMXC__BW_Slots_Before__c","BW_Slots_Before__c","double","Number","BW Slots Before"
"SVMXC__BW_Territory__c","BW_Territory__c","reference","Text","BW Territory"
"SVMXC__BW_Time_Zone__c","BW_Time_Zone__c","string","Text","BW Time Zone"
"SVMXC__Billing_Type__c","Billing_Type__c","picklist","Picklist","System Billing Type"
"SVMXC__Booking_Window__c","Booking_Window__c","reference","Text","Booking Window"
"SVMXC__Clock_Paused_Forever__c","Clock_Paused_Forever__c","boolean","Checkbox","Clock Paused Forever"
"SVMXC__Component_City__c","Component_City__c","string","Text","Component SN City"
"SVMXC__Component_Country__c","Component_Country__c","string","Text","Component SN Country"
"SVMXC__Component_State__c","Component_State__c","string","Text","Component SN State"
"SVMXC__Component_Street__c","Component_Street__c","string","Text","Component SN Street"
"SVMXC__Component_Zip__c","Component_Zip__c","string","Text","Component SN Zip"
"SVMXC__Component__c","Component__c","reference","Text","Installed Product"
"SVMXC__Entitlement_Notes__c","Entitlement_Notes__c","textarea","LongTextArea","Entitlement Notes"
"SVMXC__Entitlement_Type__c","Entitlement_Type__c","picklist","Picklist","Entitlement Type"
"SVMXC__Initial_Response_Customer_By__c","Initial_Response_Customer_By__c","datetime","DateTime","Initial Response Customer By"
"SVMXC__Initial_Response_Internal_By__c","Initial_Response_Internal_By__c","datetime","DateTime","Initial Response Internal By"
"SVMXC__Is_PM_Case__c","Is_PM_Case__c","boolean","Checkbox","Is PM Case"
"SVMXC__Is_SLA_Calculated__c","Is_SLA_Calculated__c","boolean","Checkbox","Recalculate SLA"
"SVMXC__Onsite_Response_Customer_By__c","Onsite_Response_Customer_By__c","datetime","DateTime","Onsite Response Customer By"
"SVMXC__Onsite_Response_Internal_By__c","Onsite_Response_Internal_By__c","datetime","DateTime","Onsite Response Internal By"
"SVMXC__PM_Plan__c","PM_Plan__c","reference","Text","Preventive Maintenance Plan"
"SVMXC__Perform_Auto_Entitlement__c","Perform_Auto_Entitlement__c","boolean","Checkbox","Perform Auto Entitlement"
"SVMXC__Preferred_End_Time__c","Preferred_End_Time__c","datetime","DateTime","Preferred End Time"
"SVMXC__Preferred_Start_Time__c","Preferred_Start_Time__c","datetime","DateTime","Preferred Start Time"
"SVMXC__Product__c","Product__c","reference","Text","Product"
"SVMXC__Resolution_Customer_By__c","Resolution_Customer_By__c","datetime","DateTime","Resolution Customer By"
"SVMXC__Resolution_Internal_By__c","Resolution_Internal_By__c","datetime","DateTime","Resolution Internal By"
"SVMXC__Restoration_Customer_By__c","Restoration_Customer_By__c","datetime","DateTime","Restoration Customer By"
"SVMXC__Restoration_Internal_By__c","Restoration_Internal_By__c","datetime","DateTime","Restoration Internal By"
"SVMXC__SContract_Business_Hour__c","SContract_Business_Hour__c","string","Text","SContract Business Hour"
"SVMXC__SLA_Clock_Extension_Minutes__c","SLA_Clock_Extension_Minutes__c","double","Number","SLA Clock Extension Minutes"
"SVMXC__SLA_Clock_Pause_Days__c","SLA_Clock_Pause_Days__c","double","Number","SLA Clock Pause Days"
"SVMXC__SLA_Clock_Pause_Hours__c","SLA_Clock_Pause_Hours__c","double","Number","SLA Clock Pause Hours"
"SVMXC__SLA_Clock_Pause_Minutes__c","SLA_Clock_Pause_Minutes__c","double","Number","SLA Clock Pause Minutes"
"SVMXC__SLA_Clock_Pause_Reason__c","SLA_Clock_Pause_Reason__c","picklist","Picklist","SLA Clock Pause Reason"
"SVMXC__SLA_Clock_Pause_Restart_Time__c","SLA_Clock_Pause_Restart_Time__c","datetime","DateTime","SLA Clock Pause Restart Time"
"SVMXC__SLA_Clock_Pause_Time__c","SLA_Clock_Pause_Time__c","datetime","DateTime","SLA Clock Pause Time"
"SVMXC__SLA_Clock_Paused__c","SLA_Clock_Paused__c","boolean","Checkbox","SLA Clock Paused"
"SVMXC__SLA_Terms__c","SLA_Terms__c","reference","Text","SLA Terms"
"SVMXC__Scheduled_Date__c","Scheduled_Date__c","date","Date","Scheduled Date"
"SVMXC__Service_Contract__c","Service_Contract__c","reference","Text","Service/Maintenance Contract"
"SVMXC__Site__c","Site__c","reference","Text","Location"
"SVMXC__Top_Level__c","Top_Level__c","reference","Text","Product/System"
"SVMXC__Warranty__c","Warranty__c","reference","Text","Warranty"
"SVMXC__Is_Entitlement_Performed__c","Is_Entitlement_Performed__c","boolean","Checkbox","Is Entitlement Performed"
"SVMXC__Is_Service_Covered__c","Is_Service_Covered__c","boolean","Checkbox","Is Service Covered"
"SVMXC__Is_Invoice_Created__c","Is_Invoice_Created__c","boolean","Checkbox","Is Invoice Created"
"SVMXC__Proforma_Invoice_Amount__c","Proforma_Invoice_Amount__c","currency","Currency","Proforma Invoice Amount"
"SVMXC__Proforma_Invoice__c","Proforma_Invoice__c","reference","Text","Proforma Invoice"
"SVMXC__Time_to_Initial_Response__c","Time_to_Initial_Response__c","double","Number","Time to Initial Response (in Minutes)"
"SVMXC__Time_to_Onsite_Response__c","Time_to_Onsite_Response__c","double","Number","Time to Onsite Response (in Minutes)"
"SVMXC__Time_to_Resolve__c","Time_to_Resolve__c","double","Number","Time to Resolve (in Minutes)"
"SVMXC__Time_to_Restore__c","Time_to_Restore__c","double","Number","Time to Restore (in Minutes)"
"SVMX_14_Day_Count_to_close__c","F_14_Day_Count_to_close__c","boolean","Checkbox","14 Day Count to close"
"SVMX_Billing_Type_Reason__c","Billing_Type_Reason__c","picklist","Picklist","Billing Type Reason"
"SVMX_CAPA_ID__c","CAPA_ID__c","string","Text","Manufacturer Reference"
"SVMX_Case_Resolution__c","Case_Resolution__c","textarea","LongTextArea","Case Resolution"
"SVMX_Close_Case_Reason__c","Close_Case_Reason__c","picklist","Picklist","Close Case Reason"
"SVMX_Component_serial__c","Component_serial__c","string","Text","Component_serial"
"SVMX_Customer_Satisfaction__c","Customer_Satisfaction__c","picklist","Picklist","Customer Satisfaction"
"SVMX_Division__c","Division__c","picklist","Picklist","Division"
"SVMX_Email__c","Email__c","email","Email","Email"
"SVMX_Frequency__c","Frequency__c","picklist","Picklist","Frequency"
"SVMX_Manual_Billing_Type_Override__c","Manual_Billing_Type_Override__c","picklist","Picklist","Manual Billing Type Override"
"SVMX_Product_safety_assessment__c","Product_safety_assessment__c","picklist","Picklist","Product safety assessment"
"SVMX_Restart_SLA_Clock__c","Restart_SLA_Clock__c","boolean","Checkbox","Restart SLA Clock"
"SVMX_Symptom__c","Symptom__c","reference","Text","Symptom"
"SVMX_WO_Closed_Date__c","WO_Closed_Date__c","date","Date","WO Closed Date"
"SVMX_Work_Order_Created__c","Work_Order_Created__c","boolean","Checkbox","Work Order Created"
"SVMX_Work_Orders_Created__c","Work_Orders_Created__c","double","Number","Number of Work Orders Created"
"SVMX_FSR_template__c","FSR_template__c","string","Text","FSR template"
"SDG_Close_Reason__c","SDG_Close_Reason__c","picklist","Picklist","Close Reason"
"SDG_Closure_Details__c","SDG_Closure_Details__c","textarea","TextArea","Closure Details"
"SDG_Request_Type__c","SDG_Request_Type__c","picklist","Picklist","Request Type"
"SDG_Requestor__c","SDG_Requestor__c","reference","Text","Requestor"
"SDG_Screen_Shot__c","SDG_Screen_Shot__c","textarea","Html","Screen Shot"
"SDG_Status_Category__c","SDG_Status_Category__c","picklist","Picklist","Status Category"
"SDG_Ticket_Type__c","SDG_Ticket_Type__c","picklist","Picklist","Ticket Type"
"SDG_Tier__c","SDG_Tier__c","picklist","Picklist","Tier"
"SVMX_Case__c","Case__c","string","Text","SVMX Case #"
"Reagent_component__c","Reagent_component__c","string","Text","Reagent/component"
"SVMX_Lot_Batch_No__c","Lot_Batch_No__c","string","Text","Lot/Batch No"
"SVMX_pMDR_1__c","pMDR_1__c","boolean","Checkbox","Evidence of repeated failure"
"SVMX_pMDR_2__c","pMDR_2__c","boolean","Checkbox","Smoke/fire/electrical shock issue"
"SVMX_pMDR_3__c","pMDR_3__c","boolean","Checkbox","Risk of injury or death"
"SVMX_pMDR_4__c","pMDR_4__c","boolean","Checkbox","Sample damage or loss issue"
"SVMX_pMDR_5__c","pMDR_5__c","boolean","Checkbox","Potential incorrect/delayed diagnosis"
"SVMX_pMDR_6__c","pMDR_6__c","boolean","Checkbox","Labels/documents are inaccurate/missing"
"SVMX_pMDR_7__c","pMDR_7__c","boolean","Checkbox","Performance not matching product claims"
"SVMX_pMDR_8__c","pMDR_8__c","boolean","Checkbox","Potential regulatory issue"
"TF_Business_unit__c","TF_Business_unit__c","picklist","Picklist","Business unit"
"Case_Comment_Added__c","Case_Comment_Added__c","boolean","Checkbox","Case Comment Added"
"Latest_Case_Comments__c","Latest_Case_Comments__c","textarea","LongTextArea","Latest Case Comments"
"Case_Record_Count__c","Case_Record_Count__c","double","Number","Case Record Count"
"SVMX_pMDR_10__c","pMDR_10__c","boolean","Checkbox","Assessment performed"
"SVMX_pMDR_9__c","pMDR_9__c","boolean","Checkbox","No to all"
"TF_Component_Retrofit_Method__c","TF_Component_Retrofit_Method__c","string","Text","Component Retrofit/Method"
"TF_Component_firmware__c","TF_Component_firmware__c","string","Text","Component firmware"
"TF_Component_software__c","TF_Component_software__c","string","Text","Component software"
"TF_Country__c","TF_Country__c","string","Text","Country"
"Case_Country__c","Case_Country__c","string","Text","Case Country"
"Error_Code__c","Error_Code__c","reference","Text","Error Code"
"Pref_Technician_from_IP__c","Pref_Technician_from_IP__c","string","Text","Pref. Technician from IP"
"Pref_Technician_from_Location__c","Pref_Technician_from_Location__c","string","Text","Pref. Technician from Location"
"Latitude__c","Latitude__c","double","Number","Latitude"
"Longitude__c","Longitude__c","double","Number","Longitude"
"Error_Code_Link__c","Error_Code_Link__c","string","Text","Linked Error Code"
"Description_Translated__c","Description_Translated__c","textarea","LongTextArea","Description (Translated)"
"Subject_Translated__c","Subject_Translated__c","string","Text","Subject (Translated)"
"Notified_Date__c","Notified_Date__c","datetime","DateTime","Notified Date"
"Log_file_Name_s__c","Log_file_Name_s__c","string","Text","Log file Name(s)"
"Log_File_s_location__c","Log_File_s_location__c","string","Text","Log File(s) location"
"Caselink__c","Caselink__c","string","Text","Caselink"
"Support_Description__c","Support_Description__c","string","Text","Support Description"
"Support_URL__c","Support_URL__c","textarea","LongTextArea","Support URL"
"Reagent_Product__c","Reagent_Product__c","reference","Text","Reagent/Product"
"Analyte_component__c","Analyte_component__c","multipicklist","MultiselectPicklist","Analyte component"
"Comp_IP__c","Comp_IP__c","reference","Text","Competitor Installed Product"
"Zinc_Conversation__c","Zinc_Conversation__c","string","Text","Zinc Conversation"
"Zinc_External_Id__c","Zinc_External_Id__c","string","Text","Zinc External Id"
"Zinc_Message_Body__c","Zinc_Message_Body__c","string","Text","Zinc Message Body"
"Solution__c","Solution__c","reference","Text","Solution"
"Credit_Check__c","Credit_Check__c","string","Text","Credit Check"
"SVMXC__SM_Change_Order__c","SM_Change_Order__c","reference","Text","Change Order"
"SVMXC__SM_Is_FCO_Case__c","SM_Is_FCO_Case__c","boolean","Checkbox","Is FCO Case"
"RescueCustomField4__c","RescueCustomField4__c","string","Text","RescueCustomField4"
"Rescue_Field2__c","Rescue_Field2__c","string","Text","Rescue_Field2"
"Region__c","Region__c","string","Text","Region"
"InfoCard_ID__c","InfoCard_ID__c","string","Text","InfoCard ID"
"Packet_ID__c","Packet_ID__c","string","Text","Packet ID"
"Master_Control_Status__c","Master_Control_Status__c","string","Text","Master Control Status"
"CMS_Site__c","CMS_Site__c","string","Text","CMS-Site"
"MC_Complaint_Team__c","MC_Complaint_Team__c","textarea","TextArea","MC Complaint Team"
"URL_Link__c","URL_Link__c","url","Url","URL Link"
"Genesys_Conversation_Id__c","Genesys_Conversation_Id__c","string","Text","Genesys_Conversation_Id"
"Support_contact__c","Support_contact__c","email","Email","Support contact"
"Genesys_Email_Queue__c","Genesys_Email_Queue__c","string","Text","Genesys Email Queue"
"IsKNcreator__c","IsKNcreator__c","boolean","Checkbox","IsKNcreator"
"New_Case_Report__c","New_Case_Report__c","boolean","Checkbox","New Case Report"
"TF_NLP__c","TF_NLP__c","textarea","LongTextArea","NLP"
"Days_Open__c","Days_Open__c","double","Number","Days Open"
"Is_owned_by_Queue__c","Is_owned_by_Queue__c","boolean","Checkbox","Is owned by Queue"
"Case_Time_to_Respond__c","Case_Time_to_Respond__c","string","Text","Case Time to Respond"
"Owner_department__c","Owner_department__c","string","Text","Owner department"
"City__c","City__c","string","Text","City"
"State__c","State__c","string","Text","State"
"Street__c","Street__c","string","Text","Street"
"Total_Activity_Time_minutes__c","Total_Activity_Time_minutes__c","double","Number","Total Activity Time (minutes)"
"Zip__c","Zip__c","string","Text","Zip"
"Record_Time_Visibility__c","Record_Time_Visibility__c","boolean","Checkbox","Record Time Visibility"
"Survey_Monkey_NPS_Feedback__c","Survey_Monkey_NPS_Feedback__c","textarea","TextArea","NPS Feedback"
"Survey_Monkey_NPS__c","Survey_Monkey_NPS__c","double","Number","NPS Score"
"PushToComplaint__c","PushToComplaint__c","boolean","Checkbox","PushToComplaint"
"MC_Site__c","MC_Site__c","string","Text","MC Site"
"PCC_Email__c","PCC_Email__c","string","Text","PCC Email"
"Pref_Application_Specialist_from_IP__c","Pref_Application_Specialist_from_IP__c","string","Text","Pref. Application Specialist from IP"
"Pref_Application_Specialist_from_Loc__c","Pref_Application_Specialist_from_Loc__c","string","Text","Pref. Application Specialist from Loc"
"MyThread_ID__c","MyThread_ID__c","string","Text","MyThread_ID"
"Days_to_resolution__c","Days_to_resolution__c","double","Number","Days to resolution"
"Service_Request__c","Service_Request__c","reference","Text","Service Request"
